unique_id,ds,y
01_01,2016-08-29,0.0
01_01,2016-09-05,0.0
01_01,2016-09-12,0.0
01_01,2016-09-19,0.0
01_01,2016-09-26,0.0
01_01,2016-10-03,0.0
01_01,2016-10-10,0.0
01_01,2016-10-17,0.0
01_01,2016-10-24,0.0
01_01,2016-10-31,0.0
01_01,2016-11-07,0.0
01_01,2016-11-14,0.0
01_01,2016-11-21,0.0
01_01,2016-11-28,0.0
01_01,2016-12-05,0.0
01_01,2016-12-12,0.0
01_01,2016-12-19,0.0
01_01,2016-12-26,0.0
01_01,2017-01-02,0.0
01_01,2017-01-09,0.0
01_01,2017-01-16,0.0
01_01,2017-01-23,11.73
01_01,2017-01-30,0.0
01_01,2017-02-06,18.33
01_01,2017-02-13,0.0
01_01,2017-02-20,0.0
01_01,2017-02-27,0.0
01_01,2017-03-06,0.0
01_01,2017-03-13,0.0
01_01,2017-03-20,0.0
01_01,2017-03-27,0.0
01_01,2017-04-03,0.0
01_01,2017-04-10,0.0
01_01,2017-04-17,0.0
01_01,2017-04-24,0.0
01_01,2017-05-01,0.0
01_01,2017-05-08,0.0
01_01,2017-05-15,0.0
01_01,2017-05-22,0.0
01_01,2017-05-29,7.78
01_01,2017-06-05,0.0
01_01,2017-06-12,7.88
01_01,2017-06-19,0.0
01_01,2017-06-26,0.0
01_01,2017-07-03,0.0
01_01,2017-07-10,0.0
01_01,2017-07-17,36.26
01_01,2017-07-24,0.0
01_01,2017-07-31,0.0
01_01,2017-08-07,0.0
01_01,2017-08-14,7.78
01_01,2017-08-21,0.0
01_01,2017-08-28,11.73
01_01,2017-09-04,0.0
01_01,2017-09-11,0.0
01_01,2017-09-18,0.0
01_01,2017-09-25,7.78
01_01,2017-10-02,0.0
01_01,2017-10-09,0.0
01_01,2017-10-16,0.0
01_01,2017-10-23,0.0
01_01,2017-10-30,7.78
01_01,2017-11-06,7.78
01_01,2017-11-13,0.0
01_01,2017-11-20,0.0
01_01,2017-11-27,0.0
01_01,2017-12-04,0.0
01_01,2017-12-11,0.0
01_01,2017-12-18,19.51
01_01,2017-12-25,0.0
01_01,2018-01-01,0.0
01_01,2018-01-08,0.0
01_01,2018-01-15,15.56
01_01,2018-01-22,23.34
01_01,2018-01-29,7.78
01_01,2018-02-05,0.0
01_01,2018-02-12,0.0
01_01,2018-02-19,0.0
01_01,2018-02-26,15.56
01_01,2018-03-05,15.53
01_01,2018-03-12,23.76
01_01,2018-03-19,0.0
01_01,2018-03-26,8.98
01_01,2018-04-02,0.0
01_01,2018-04-09,8.29
01_01,2018-04-16,0.0
01_01,2018-04-23,21.2
01_01,2018-04-30,0.0
01_01,2018-05-07,7.39
01_01,2018-05-14,7.39
01_01,2018-05-21,0.0
01_01,2018-05-28,0.0
01_01,2018-06-04,7.39
01_01,2018-06-11,7.41
01_01,2018-06-18,23.200000000000003
01_01,2018-06-25,22.17
01_01,2018-07-02,15.46
01_02,2016-08-29,0.0
01_02,2016-09-05,0.0
01_02,2016-09-12,0.0
01_02,2016-09-19,0.0
01_02,2016-09-26,0.0
01_02,2016-10-03,0.0
01_02,2016-10-10,0.0
01_02,2016-10-17,0.0
01_02,2016-10-24,0.0
01_02,2016-10-31,0.0
01_02,2016-11-07,0.0
01_02,2016-11-14,0.0
01_02,2016-11-21,0.0
01_02,2016-11-28,0.0
01_02,2016-12-05,0.0
01_02,2016-12-12,0.0
01_02,2016-12-19,0.0
01_02,2016-12-26,0.0
01_02,2017-01-02,0.0
01_02,2017-01-09,0.0
01_02,2017-01-16,15.39
01_02,2017-01-23,0.0
01_02,2017-01-30,0.0
01_02,2017-02-06,8.72
01_02,2017-02-13,0.0
01_02,2017-02-20,0.0
01_02,2017-02-27,0.0
01_02,2017-03-06,0.0
01_02,2017-03-13,0.0
01_02,2017-03-20,0.0
01_02,2017-03-27,0.0
01_02,2017-04-03,0.0
01_02,2017-04-10,0.0
01_02,2017-04-17,0.0
01_02,2017-04-24,0.0
01_02,2017-05-01,0.0
01_02,2017-05-08,90.54
01_02,2017-05-15,0.0
01_02,2017-05-22,0.0
01_02,2017-05-29,0.0
01_02,2017-06-05,0.0
01_02,2017-06-12,0.0
01_02,2017-06-19,0.0
01_02,2017-06-26,7.78
01_02,2017-07-03,0.0
01_02,2017-07-10,0.0
01_02,2017-07-17,0.0
01_02,2017-07-24,0.0
01_02,2017-07-31,0.0
01_02,2017-08-07,0.0
01_02,2017-08-14,0.0
01_02,2017-08-21,0.0
01_02,2017-08-28,0.0
01_02,2017-09-04,0.0
01_02,2017-09-11,0.0
01_02,2017-09-18,0.0
01_02,2017-09-25,0.0
01_02,2017-10-02,8.72
01_02,2017-10-09,0.0
01_02,2017-10-16,15.56
01_02,2017-10-23,0.0
01_02,2017-10-30,0.0
01_02,2017-11-06,0.0
01_02,2017-11-13,0.0
01_02,2017-11-20,0.0
01_02,2017-11-27,7.78
01_02,2017-12-04,42.86
01_02,2017-12-11,0.0
01_02,2017-12-18,7.78
01_02,2017-12-25,23.56
01_02,2018-01-01,17.44
01_02,2018-01-08,0.0
01_02,2018-01-15,24.28
01_02,2018-01-22,7.78
01_02,2018-01-29,15.56
01_02,2018-02-05,28.67
01_02,2018-02-12,23.34
01_02,2018-02-19,34.01
01_02,2018-02-26,8.72
01_02,2018-03-05,8.29
01_02,2018-03-12,0.0
01_02,2018-03-19,8.29
01_02,2018-03-26,0.0
01_02,2018-04-02,40.32
01_02,2018-04-09,0.0
01_02,2018-04-16,7.39
01_02,2018-04-23,8.29
01_02,2018-04-30,0.0
01_02,2018-05-07,0.0
01_02,2018-05-14,0.0
01_02,2018-05-21,0.0
01_02,2018-05-28,0.0
01_02,2018-06-04,17.29
01_02,2018-06-11,9.51
01_02,2018-06-18,0.0
01_02,2018-06-25,0.0
01_02,2018-07-02,0.0
01_03,2016-08-29,0.0
01_03,2016-09-05,0.0
01_03,2016-09-12,0.0
01_03,2016-09-19,0.0
01_03,2016-09-26,0.0
01_03,2016-10-03,0.0
01_03,2016-10-10,0.0
01_03,2016-10-17,0.0
01_03,2016-10-24,0.0
01_03,2016-10-31,0.0
01_03,2016-11-07,0.0
01_03,2016-11-14,0.0
01_03,2016-11-21,0.0
01_03,2016-11-28,0.0
01_03,2016-12-05,0.0
01_03,2016-12-12,0.0
01_03,2016-12-19,0.0
01_03,2016-12-26,0.0
01_03,2017-01-02,0.0
01_03,2017-01-09,0.0
01_03,2017-01-16,8.72
01_03,2017-01-23,8.72
01_03,2017-01-30,0.0
01_03,2017-02-06,0.0
01_03,2017-02-13,0.0
01_03,2017-02-20,18.82
01_03,2017-02-27,0.0
01_03,2017-03-06,0.0
01_03,2017-03-13,9.41
01_03,2017-03-20,0.0
01_03,2017-03-27,0.0
01_03,2017-04-03,0.0
01_03,2017-04-10,0.0
01_03,2017-04-17,0.0
01_03,2017-04-24,0.0
01_03,2017-05-01,9.61
01_03,2017-05-08,0.0
01_03,2017-05-15,0.0
01_03,2017-05-22,17.1
01_03,2017-05-29,23.8
01_03,2017-06-05,0.0
01_03,2017-06-12,0.0
01_03,2017-06-19,0.0
01_03,2017-06-26,11.8
01_03,2017-07-03,0.0
01_03,2017-07-10,0.0
01_03,2017-07-17,0.0
01_03,2017-07-24,7.78
01_03,2017-07-31,0.0
01_03,2017-08-07,0.0
01_03,2017-08-14,15.56
01_03,2017-08-21,0.0
01_03,2017-08-28,0.0
01_03,2017-09-04,0.0
01_03,2017-09-11,0.0
01_03,2017-09-18,9.34
01_03,2017-09-25,0.0
01_03,2017-10-02,15.56
01_03,2017-10-09,17.12
01_03,2017-10-16,0.0
01_03,2017-10-23,8.72
01_03,2017-10-30,0.0
01_03,2017-11-06,15.56
01_03,2017-11-13,7.78
01_03,2017-11-20,15.56
01_03,2017-11-27,0.0
01_03,2017-12-04,22.09
01_03,2017-12-11,9.37
01_03,2017-12-18,16.33
01_03,2017-12-25,0.0
01_03,2018-01-01,7.78
01_03,2018-01-08,9.34
01_03,2018-01-15,17.22
01_03,2018-01-22,8.72
01_03,2018-01-29,15.57
