unique_id,ds,y
01_01,2016-08-29,0
01_01,2016-09-05,0
01_01,2016-09-12,0
01_01,2016-09-19,0
01_01,2016-09-26,0
01_01,2016-10-03,0
01_01,2016-10-10,0
01_01,2016-10-17,0
01_01,2016-10-24,0
01_01,2016-10-31,0
01_01,2016-11-07,0
01_01,2016-11-14,0
01_01,2016-11-21,0
01_01,2016-11-28,0
01_01,2016-12-05,0
01_01,2016-12-12,0
01_01,2016-12-19,0
01_01,2016-12-26,0
01_01,2017-01-02,0
01_01,2017-01-09,0
01_01,2017-01-16,0
01_01,2017-01-23,1
01_01,2017-01-30,0
01_01,2017-02-06,2
01_01,2017-02-13,0
01_01,2017-02-20,0
01_01,2017-02-27,0
01_01,2017-03-06,0
01_01,2017-03-13,0
01_01,2017-03-20,0
01_01,2017-03-27,0
01_01,2017-04-03,0
01_01,2017-04-10,0
01_01,2017-04-17,0
01_01,2017-04-24,0
01_01,2017-05-01,0
01_01,2017-05-08,0
01_01,2017-05-15,0
01_01,2017-05-22,0
01_01,2017-05-29,1
01_01,2017-06-05,0
01_01,2017-06-12,1
01_01,2017-06-19,0
01_01,2017-06-26,0
01_01,2017-07-03,0
01_01,2017-07-10,0
01_01,2017-07-17,2
01_01,2017-07-24,0
01_01,2017-07-31,0
01_01,2017-08-07,0
01_01,2017-08-14,1
01_01,2017-08-21,0
01_01,2017-08-28,1
01_01,2017-09-04,0
01_01,2017-09-11,0
01_01,2017-09-18,0
01_01,2017-09-25,1
01_01,2017-10-02,0
01_01,2017-10-09,0
01_01,2017-10-16,0
01_01,2017-10-23,0
01_01,2017-10-30,1
01_01,2017-11-06,1
01_01,2017-11-13,0
01_01,2017-11-20,0
01_01,2017-11-27,0
01_01,2017-12-04,0
01_01,2017-12-11,0
01_01,2017-12-18,2
01_01,2017-12-25,0
01_01,2018-01-01,0
01_01,2018-01-08,0
01_01,2018-01-15,2
01_01,2018-01-22,3
01_01,2018-01-29,1
01_01,2018-02-05,0
01_01,2018-02-12,0
01_01,2018-02-19,0
01_01,2018-02-26,2
01_01,2018-03-05,1
01_01,2018-03-12,3
01_01,2018-03-19,0
01_01,2018-03-26,1
01_01,2018-04-02,0
01_01,2018-04-09,1
01_01,2018-04-16,0
01_01,2018-04-23,1
01_01,2018-04-30,0
01_01,2018-05-07,1
01_01,2018-05-14,1
01_01,2018-05-21,0
01_01,2018-05-28,0
01_01,2018-06-04,1
01_01,2018-06-11,1
01_01,2018-06-18,2
01_01,2018-06-25,3
01_01,2018-07-02,1
01_02,2016-08-29,0
01_02,2016-09-05,0
01_02,2016-09-12,0
01_02,2016-09-19,0
01_02,2016-09-26,0
01_02,2016-10-03,0
01_02,2016-10-10,0
01_02,2016-10-17,0
01_02,2016-10-24,0
01_02,2016-10-31,0
01_02,2016-11-07,0
01_02,2016-11-14,0
01_02,2016-11-21,0
01_02,2016-11-28,0
01_02,2016-12-05,0
