unique_id,ds,y
01_03,2017-01-16,0.0063
01_03,2017-01-23,0.0063
01_03,2017-01-30,0.0
01_03,2017-02-06,0.0
01_03,2017-02-13,0.0
01_03,2017-02-20,0.01376
01_03,2017-02-27,0.0
01_03,2017-03-06,0.0
01_03,2017-03-13,0.003784
01_03,2017-03-20,0.0
01_03,2017-03-27,0.0
01_03,2017-04-03,0.0
01_03,2017-04-10,0.0
01_03,2017-04-17,0.0
01_03,2017-04-24,0.0
01_03,2017-05-01,0.0245
01_03,2017-05-08,0.0
01_03,2017-05-15,0.0
01_03,2017-05-22,0.009072
01_03,2017-05-29,0.020592
01_03,2017-06-05,0.0
01_03,2017-06-12,0.0
01_03,2017-06-19,0.0
01_03,2017-06-26,0.008632
01_03,2017-07-03,0.0
01_03,2017-07-10,0.0
01_03,2017-07-17,0.0
01_03,2017-07-24,0.007826
01_03,2017-07-31,0.0
01_03,2017-08-07,0.0
01_03,2017-08-14,0.002376
01_03,2017-08-21,0.0
01_03,2017-08-28,0.0
01_03,2017-09-04,0.0
01_03,2017-09-11,0.0
01_03,2017-09-18,0.0072
01_03,2017-09-25,0.0
01_03,2017-10-02,0.002376
01_03,2017-10-09,0.005284
01_03,2017-10-16,0.0
01_03,2017-10-23,0.012
01_03,2017-10-30,0.0
01_03,2017-11-06,0.013096
01_03,2017-11-13,0.004
01_03,2017-11-20,0.003888
01_03,2017-11-27,0.0
01_03,2017-12-04,0.020356
01_03,2017-12-11,0.004725
01_03,2017-12-18,0.014
01_03,2017-12-25,0.0
01_03,2018-01-01,0.003872
01_03,2018-01-08,0.018
01_03,2018-01-15,0.024375
01_03,2018-01-22,0.004356
01_03,2018-01-29,0.0071559999999999
01_03,2018-02-05,0.0
01_03,2018-02-12,0.0
01_03,2018-02-19,0.001188
01_03,2018-02-26,0.0
01_03,2018-03-05,0.005966
01_03,2018-03-12,0.006192
01_03,2018-03-19,0.0
01_03,2018-03-26,0.0
01_03,2018-04-02,0.00245
01_03,2018-04-09,0.008004
01_03,2018-04-16,0.0
01_03,2018-04-23,0.0
01_03,2018-04-30,0.012236
01_03,2018-05-07,0.0
01_03,2018-05-14,0.014558
01_03,2018-05-21,0.0028
01_03,2018-05-28,0.03825
01_03,2018-06-04,0.0
01_03,2018-06-11,0.002976
01_03,2018-06-18,0.0
01_03,2018-06-25,0.006535
01_04,2017-01-23,0.0063
01_04,2017-01-30,0.008008
01_04,2017-02-06,0.008475
01_04,2017-02-13,0.0
01_04,2017-02-20,0.0016
01_04,2017-02-27,0.031376
01_04,2017-03-06,0.0
01_04,2017-03-13,0.00416
01_04,2017-03-20,0.0
01_04,2017-03-27,0.0
01_04,2017-04-03,0.0
01_04,2017-04-10,0.0
01_04,2017-04-17,0.0
01_04,2017-04-24,0.008008
01_04,2017-05-01,0.018375
01_04,2017-05-08,0.00256
01_04,2017-05-15,0.0
01_04,2017-05-22,0.0
01_04,2017-05-29,0.007826
01_04,2017-06-05,0.004096
01_04,2017-06-12,0.0
01_04,2017-06-19,0.0
01_04,2017-06-26,0.007826
01_04,2017-07-03,0.01845
01_04,2017-07-10,0.0
01_04,2017-07-17,0.001728
01_04,2017-07-24,0.0
01_04,2017-07-31,0.0
01_04,2017-08-07,0.0
01_04,2017-08-14,0.0
01_04,2017-08-21,0.0034
01_04,2017-08-28,0.0
01_04,2017-09-04,0.0
01_04,2017-09-11,0.00688
01_04,2017-09-18,0.0
01_04,2017-09-25,0.0
01_04,2017-10-02,0.024
01_04,2017-10-09,0.0
01_04,2017-10-16,0.0115839999999999
01_04,2017-10-23,0.0
01_04,2017-10-30,0.0
01_04,2017-11-06,0.006704
01_04,2017-11-13,0.018
01_04,2017-11-20,0.03631
01_04,2017-11-27,0.013004
01_04,2017-12-04,0.04944
01_04,2017-12-11,0.00676
01_04,2017-12-18,0.004617
01_04,2017-12-25,0.0028
01_04,2018-01-01,0.0088
01_04,2018-01-08,0.030735
01_04,2018-01-15,0.061122
01_04,2018-01-22,0.0232
01_04,2018-01-29,0.118508
01_04,2018-02-05,0.0028
01_04,2018-02-12,0.001188
01_04,2018-02-19,0.0060839999999999
01_04,2018-02-26,0.0144079999999999
01_04,2018-03-05,0.003872
01_04,2018-03-12,0.027218
01_04,2018-03-19,0.020328
01_04,2018-03-26,0.006
01_04,2018-04-02,0.01378
01_04,2018-04-09,0.052006
01_04,2018-04-16,0.044967
01_04,2018-04-23,0.008192
01_04,2018-04-30,0.06396
01_04,2018-05-07,0.0053529999999999
01_04,2018-05-14,0.040616
01_04,2018-05-21,0.0028
01_04,2018-05-28,0.001188
01_04,2018-06-04,0.0
01_04,2018-06-11,0.00288
01_04,2018-06-18,0.012167
01_04,2018-06-25,0.00726
01_06,2017-01-23,0.001728
01_06,2017-01-30,0.00648
01_06,2017-02-06,0.0
01_06,2017-02-13,0.0
01_06,2017-02-20,0.0
01_06,2017-02-27,0.0
01_06,2017-03-06,0.013125
01_06,2017-03-13,0.0
01_06,2017-03-20,0.008514
01_06,2017-03-27,0.0
01_06,2017-04-03,0.0
01_06,2017-04-10,0.0
01_06,2017-04-17,0.0
01_06,2017-04-24,0.0
01_06,2017-05-01,0.002175
01_06,2017-05-08,0.0
01_06,2017-05-15,0.0
01_06,2017-05-22,0.0
01_06,2017-05-29,0.0
01_06,2017-06-05,0.00256
01_06,2017-06-12,0.0
01_06,2017-06-19,0.002175
01_06,2017-06-26,0.0
01_06,2017-07-03,0.0
01_06,2017-07-10,0.009072
01_06,2017-07-17,0.0
01_06,2017-07-24,0.0
01_06,2017-07-31,0.0
01_06,2017-08-07,0.0
01_06,2017-08-14,0.0
01_06,2017-08-21,0.012
01_06,2017-08-28,0.0
01_06,2017-09-04,0.0
01_06,2017-09-11,0.0
01_06,2017-09-18,0.0
01_06,2017-09-25,0.012325
01_06,2017-10-02,0.0
01_06,2017-10-09,0.0
01_06,2017-10-16,0.000704
01_06,2017-10-23,0.0096
01_06,2017-10-30,0.018375
01_06,2017-11-06,0.0
01_06,2017-11-13,0.0122999999999999
01_06,2017-11-20,0.0027
01_06,2017-11-27,0.00706
01_06,2017-12-04,0.004862
01_06,2017-12-11,0.0
01_06,2017-12-18,0.0
01_06,2017-12-25,0.0028
01_06,2018-01-01,0.0052499999999999
01_06,2018-01-08,0.0028
01_06,2018-01-15,0.0
01_06,2018-01-22,0.006292
01_06,2018-01-29,0.00108
01_06,2018-02-05,0.006572
01_06,2018-02-12,0.0598559999999999
01_06,2018-02-19,0.0159249999999999
01_06,2018-02-26,0.028671
01_06,2018-03-05,0.003672
01_06,2018-03-12,0.003988
01_06,2018-03-19,0.01344
01_06,2018-03-26,0.013125
01_06,2018-04-02,0.0854839999999999
01_06,2018-04-09,0.0056
01_06,2018-04-16,0.04
01_06,2018-04-23,0.0056
01_06,2018-04-30,0.017306
01_06,2018-05-07,0.00643
01_06,2018-05-14,0.00816
01_06,2018-05-21,0.0024
01_06,2018-05-28,0.0
01_06,2018-06-04,0.030919
01_06,2018-06-11,0.0027
01_06,2018-06-18,0.0108
01_06,2018-06-25,0.004104
01_11,2017-02-13,0.002175
01_11,2017-02-20,0.0
01_11,2017-02-27,0.0
01_11,2017-03-06,0.0
01_11,2017-03-13,0.0
01_11,2017-03-20,0.02472
01_11,2017-03-27,0.0
01_11,2017-04-03,0.007826
01_11,2017-04-10,0.0
01_11,2017-04-17,0.0
01_11,2017-04-24,0.0
01_11,2017-05-01,0.0
01_11,2017-05-08,0.0
01_11,2017-05-15,0.018375
01_11,2017-05-22,0.0
01_11,2017-05-29,0.018375
01_11,2017-06-05,0.01764
01_11,2017-06-12,0.00688
01_11,2017-06-19,0.0
01_11,2017-06-26,0.0
01_11,2017-07-03,0.0
01_11,2017-07-10,0.0
01_11,2017-07-17,0.007826
01_11,2017-07-24,0.0
01_11,2017-07-31,0.0
01_11,2017-08-07,0.0
01_11,2017-08-14,0.0
01_11,2017-08-21,0.0128399999999999
01_11,2017-08-28,0.0
01_11,2017-09-04,0.01764
01_11,2017-09-11,0.0
01_11,2017-09-18,0.0153
01_11,2017-09-25,0.0
01_11,2017-10-02,0.0
01_11,2017-10-09,0.0
01_11,2017-10-16,0.0
01_11,2017-10-23,0.00708
01_11,2017-10-30,0.00119
01_11,2017-11-06,0.0
01_11,2017-11-13,0.0096
01_11,2017-11-20,0.004692
01_11,2017-11-27,0.0
01_11,2017-12-04,0.010356
01_11,2017-12-11,0.019312
01_11,2017-12-18,0.0
01_11,2017-12-25,0.0
01_11,2018-01-01,0.0088
01_11,2018-01-08,0.0
01_11,2018-01-15,0.0199039999999999
01_11,2018-01-22,0.006484
01_11,2018-01-29,0.0027
01_11,2018-02-05,0.00424
01_11,2018-02-12,0.01448
01_11,2018-02-19,0.01664
01_11,2018-02-26,0.0
01_11,2018-03-05,0.0
01_11,2018-03-12,0.010356
01_11,2018-03-19,0.0
01_11,2018-03-26,0.006896
01_11,2018-04-02,0.01304
01_11,2018-04-09,0.0027
01_11,2018-04-16,0.0
01_11,2018-04-23,0.00374
01_11,2018-04-30,0.006
01_11,2018-05-07,0.0
01_11,2018-05-14,0.003872
01_11,2018-05-21,0.0
01_11,2018-05-28,0.0057
01_11,2018-06-04,0.003872
01_11,2018-06-11,0.0
01_11,2018-06-18,0.015344
01_11,2018-06-25,0.015492
01_13,2016-10-03,0.027216
01_13,2016-10-10,0.0
01_13,2016-10-17,0.0
01_13,2016-10-24,0.0
01_13,2016-10-31,0.0
01_13,2016-11-07,0.0
01_13,2016-11-14,0.0
01_13,2016-11-21,0.0
01_13,2016-11-28,0.0
01_13,2016-12-05,0.0
01_13,2016-12-12,0.0
01_13,2016-12-19,0.0
01_13,2016-12-26,0.0
01_13,2017-01-02,0.0
01_13,2017-01-09,0.0
01_13,2017-01-16,0.0
01_13,2017-01-23,0.017496
01_13,2017-01-30,0.008952
01_13,2017-02-06,0.00416
01_13,2017-02-13,0.0
01_13,2017-02-20,0.00416
01_13,2017-02-27,0.0
01_13,2017-03-06,0.0
01_13,2017-03-13,0.052402
01_13,2017-03-20,0.0
01_13,2017-03-27,0.01428
01_13,2017-04-03,0.004356
01_13,2017-04-10,0.0
01_13,2017-04-17,0.0
01_13,2017-04-24,0.0
01_13,2017-05-01,0.0
01_13,2017-05-08,0.0
01_13,2017-05-15,0.00256
01_13,2017-05-22,0.006336
01_13,2017-05-29,0.016834
01_13,2017-06-05,0.0
01_13,2017-06-12,0.0
01_13,2017-06-19,0.0
01_13,2017-06-26,0.0
01_13,2017-07-03,0.0
01_13,2017-07-10,0.00256
01_13,2017-07-17,0.0
01_13,2017-07-24,0.0
01_13,2017-07-31,0.00594
01_13,2017-08-07,0.001188
01_13,2017-08-14,0.0
01_13,2017-08-21,0.012132
01_13,2017-08-28,0.0
01_13,2017-09-04,0.0
01_13,2017-09-11,0.00654
01_13,2017-09-18,0.026156
01_13,2017-09-25,0.0027
01_13,2017-10-02,0.00402
01_13,2017-10-09,0.128
01_13,2017-10-16,0.0
01_13,2017-10-23,0.017445
01_13,2017-10-30,0.007188
01_13,2017-11-06,0.0036
01_13,2017-11-13,0.038286
01_13,2017-11-20,0.037638
01_13,2017-11-27,0.024036
01_13,2017-12-04,0.0027
01_13,2017-12-11,0.006204
01_13,2017-12-18,0.015972
01_13,2017-12-25,0.00408
01_13,2018-01-01,0.055578
01_13,2018-01-08,0.0243
01_13,2018-01-15,0.00542
01_13,2018-01-22,0.048271
01_13,2018-01-29,0.027956
01_13,2018-02-05,0.009472
01_13,2018-02-12,0.127696
01_13,2018-02-19,0.018
01_13,2018-02-26,0.0052499999999999
01_13,2018-03-05,0.010208
01_13,2018-03-12,0.0235709999999999
01_13,2018-03-19,0.029514
01_13,2018-03-26,0.0412229999999999
01_13,2018-04-02,0.015456
01_13,2018-04-09,0.060769
01_13,2018-04-16,0.015614
01_13,2018-04-23,0.025388
01_13,2018-04-30,0.1881189999999999
01_13,2018-05-07,0.036689
01_13,2018-05-14,0.034788
01_13,2018-05-21,0.009904
01_13,2018-05-28,0.0
01_13,2018-06-04,0.021845
01_13,2018-06-11,0.015556
01_13,2018-06-18,0.179224
01_13,2018-06-25,0.041352
01_22,2017-01-30,0.002016
01_22,2017-02-06,0.0
01_22,2017-02-13,0.0
01_22,2017-02-20,0.0
01_22,2017-02-27,0.0419299999999999
01_22,2017-03-06,0.00435
01_22,2017-03-13,0.1134
01_22,2017-03-20,0.0
01_22,2017-03-27,0.0
01_22,2017-04-03,0.0
01_22,2017-04-10,0.0306
01_22,2017-04-17,0.033295
01_22,2017-04-24,0.035504
01_22,2017-05-01,0.0
01_22,2017-05-08,0.0
01_22,2017-05-15,0.001463
01_22,2017-05-22,0.0
01_22,2017-05-29,0.029368
01_22,2017-06-05,0.0
01_22,2017-06-12,0.0
01_22,2017-06-19,0.0
01_22,2017-06-26,0.0
01_22,2017-07-03,0.00594
01_22,2017-07-10,0.0
01_22,2017-07-17,0.08415
01_22,2017-07-24,0.0
01_22,2017-07-31,0.0
01_22,2017-08-07,0.0
01_22,2017-08-14,0.0
01_22,2017-08-21,0.005632
01_22,2017-08-28,0.0
01_22,2017-09-04,0.0
01_22,2017-09-11,0.0275
01_22,2017-09-18,0.0
01_22,2017-09-25,0.0
01_22,2017-10-02,0.0
01_22,2017-10-09,0.0
01_22,2017-10-16,0.008192
01_22,2017-10-23,0.0
01_22,2017-10-30,0.0
01_22,2017-11-06,0.016
01_22,2017-11-13,0.007656
01_22,2017-11-20,0.010106
01_22,2017-11-27,0.040072
01_22,2017-12-04,0.0
01_22,2017-12-11,0.0
01_22,2017-12-18,0.06732
01_22,2017-12-25,0.0
01_22,2018-01-01,0.027872
01_22,2018-01-08,0.0678
01_22,2018-01-15,0.012622
01_22,2018-01-22,0.0
01_22,2018-01-29,0.0056
01_22,2018-02-05,0.0068959999999999
01_22,2018-02-12,0.00608
01_22,2018-02-19,0.0470169999999999
01_22,2018-02-26,0.007632
01_22,2018-03-05,0.006
01_22,2018-03-12,0.070622
01_22,2018-03-19,0.005408
01_22,2018-03-26,0.0091679999999999
01_22,2018-04-02,0.000704
01_22,2018-04-09,0.005872
01_22,2018-04-16,0.000588
01_22,2018-04-23,0.008536
01_22,2018-04-30,0.00528
01_22,2018-05-07,0.0066
01_22,2018-05-14,0.002907
01_22,2018-05-21,0.012
01_22,2018-05-28,0.011968
01_22,2018-06-04,0.004096
01_22,2018-06-11,0.0
01_22,2018-06-18,0.002992
01_22,2018-06-25,0.0082
01_29,2017-02-27,0.007
01_29,2017-03-06,0.0
01_29,2017-03-13,0.0
01_29,2017-03-20,0.0
01_29,2017-03-27,0.0
01_29,2017-04-03,0.0
01_29,2017-04-10,0.0
01_29,2017-04-17,0.0
01_29,2017-04-24,0.007826
01_29,2017-05-01,0.031572
01_29,2017-05-08,0.0
01_29,2017-05-15,0.0
01_29,2017-05-22,0.0
01_29,2017-05-29,0.0
01_29,2017-06-05,0.0
01_29,2017-06-12,0.0
01_29,2017-06-19,0.0
01_29,2017-06-26,0.0
01_29,2017-07-03,0.0
01_29,2017-07-10,0.0
01_29,2017-07-17,0.0
01_29,2017-07-24,0.0
01_29,2017-07-31,0.0
01_29,2017-08-07,0.0
01_29,2017-08-14,0.0
01_29,2017-08-21,0.0
01_29,2017-08-28,0.0
01_29,2017-09-04,0.0
01_29,2017-09-11,0.0
01_29,2017-09-18,0.0
01_29,2017-09-25,0.0
01_29,2017-10-02,0.0153
01_29,2017-10-09,0.0
01_29,2017-10-16,0.00945
01_29,2017-10-23,0.0
01_29,2017-10-30,0.003179
01_29,2017-11-06,0.0
01_29,2017-11-13,0.006
01_29,2017-11-20,0.006704
01_29,2017-11-27,0.0232
01_29,2017-12-04,0.0028
01_29,2017-12-11,0.0
01_29,2017-12-18,0.0
01_29,2017-12-25,0.003168
01_29,2018-01-01,0.0204
01_29,2018-01-08,0.006672
01_29,2018-01-15,0.1444959999999999
01_29,2018-01-22,0.0088
01_29,2018-01-29,0.000704
01_29,2018-02-05,0.0364959999999999
01_29,2018-02-12,0.002912
01_29,2018-02-19,0.004564
01_29,2018-02-26,0.02272
01_29,2018-03-05,0.004096
01_29,2018-03-12,0.008707
01_29,2018-03-19,0.022112
01_29,2018-03-26,0.0027
01_29,2018-04-02,0.02686
01_29,2018-04-09,0.003745
01_29,2018-04-16,0.0028
01_29,2018-04-23,0.0731879999999999
01_29,2018-04-30,0.0
01_29,2018-05-07,0.0028
01_29,2018-05-14,0.004096
01_29,2018-05-21,0.0
01_29,2018-05-28,0.005236
01_29,2018-06-04,0.007044
01_29,2018-06-11,0.0615079999999999
01_29,2018-06-18,0.000704
01_29,2018-06-25,0.00568
02_01,2017-01-16,0.00224
