unique_id,ds,y
01_01,2016-08-29,0.0
01_01,2016-09-05,0.0
01_01,2016-09-12,0.0
01_01,2016-09-19,0.0
01_01,2016-09-26,0.0
01_01,2016-10-03,0.0
01_01,2016-10-10,0.0
01_01,2016-10-17,0.0
01_01,2016-10-24,0.0
01_01,2016-10-31,0.0
01_01,2016-11-07,0.0
01_01,2016-11-14,0.0
01_01,2016-11-21,0.0
01_01,2016-11-28,0.0
01_01,2016-12-05,0.0
01_01,2016-12-12,0.0
01_01,2016-12-19,0.0
01_01,2016-12-26,0.0
01_01,2017-01-02,0.0
01_01,2017-01-09,0.0
01_01,2017-01-16,0.0
01_01,2017-01-23,1.25
01_01,2017-01-30,0.0
01_01,2017-02-06,0.9
01_01,2017-02-13,0.0
01_01,2017-02-20,0.0
01_01,2017-02-27,0.0
01_01,2017-03-06,0.0
01_01,2017-03-13,0.0
01_01,2017-03-20,0.0
01_01,2017-03-27,0.0
01_01,2017-04-03,0.0
01_01,2017-04-10,0.0
01_01,2017-04-17,0.0
01_01,2017-04-24,0.0
01_01,2017-05-01,0.0
01_01,2017-05-08,0.0
01_01,2017-05-15,0.0
01_01,2017-05-22,0.0
01_01,2017-05-29,0.4
01_01,2017-06-05,0.0
01_01,2017-06-12,0.2
01_01,2017-06-19,0.0
01_01,2017-06-26,0.0
01_01,2017-07-03,0.0
01_01,2017-07-10,0.0
01_01,2017-07-17,12.4
01_01,2017-07-24,0.0
01_01,2017-07-31,0.0
01_01,2017-08-07,0.0
01_01,2017-08-14,0.1
01_01,2017-08-21,0.0
01_01,2017-08-28,1.25
01_01,2017-09-04,0.0
01_01,2017-09-11,0.0
01_01,2017-09-18,0.0
01_01,2017-09-25,0.167
01_01,2017-10-02,0.0
01_01,2017-10-09,0.0
01_01,2017-10-16,0.0
01_01,2017-10-23,0.0
01_01,2017-10-30,0.215
01_01,2017-11-06,0.15
01_01,2017-11-13,0.0
01_01,2017-11-20,0.0
01_01,2017-11-27,0.0
01_01,2017-12-04,0.0
01_01,2017-12-11,0.0
01_01,2017-12-18,1.55
01_01,2017-12-25,0.0
01_01,2018-01-01,0.0
01_01,2018-01-08,0.0
01_01,2018-01-15,0.3
01_01,2018-01-22,0.65
01_01,2018-01-29,0.2
01_01,2018-02-05,0.0
01_01,2018-02-12,0.0
01_01,2018-02-19,0.0
01_01,2018-02-26,0.2
01_01,2018-03-05,2.45
01_01,2018-03-12,1.125
01_01,2018-03-19,0.0
01_01,2018-03-26,0.75
01_01,2018-04-02,0.0
01_01,2018-04-09,0.5
01_01,2018-04-16,0.0
01_01,2018-04-23,19.5
01_01,2018-04-30,0.0
01_01,2018-05-07,0.175
01_01,2018-05-14,0.15
01_01,2018-05-21,0.0
01_01,2018-05-28,0.0
01_01,2018-06-04,0.25
01_01,2018-06-11,0.15
01_01,2018-06-18,2.8000000000000003
01_01,2018-06-25,0.6900000000000001
01_01,2018-07-02,1.775
01_02,2016-08-29,0.0
01_02,2016-09-05,0.0
01_02,2016-09-12,0.0
01_02,2016-09-19,0.0
01_02,2016-09-26,0.0
01_02,2016-10-03,0.0
01_02,2016-10-10,0.0
01_02,2016-10-17,0.0
01_02,2016-10-24,0.0
01_02,2016-10-31,0.0
01_02,2016-11-07,0.0
01_02,2016-11-14,0.0
01_02,2016-11-21,0.0
01_02,2016-11-28,0.0
01_02,2016-12-05,0.0
01_02,2016-12-12,0.0
01_02,2016-12-19,0.0
01_02,2016-12-26,0.0
01_02,2017-01-02,0.0
01_02,2017-01-09,0.0
01_02,2017-01-16,3.1
01_02,2017-01-23,0.0
01_02,2017-01-30,0.0
01_02,2017-02-06,0.225
01_02,2017-02-13,0.0
01_02,2017-02-20,0.0
01_02,2017-02-27,0.0
01_02,2017-03-06,0.0
01_02,2017-03-13,0.0
01_02,2017-03-20,0.0
01_02,2017-03-27,0.0
01_02,2017-04-03,0.0
01_02,2017-04-10,0.0
01_02,2017-04-17,0.0
01_02,2017-04-24,0.0
01_02,2017-05-01,0.0
01_02,2017-05-08,26.0
01_02,2017-05-15,0.0
01_02,2017-05-22,0.0
01_02,2017-05-29,0.0
01_02,2017-06-05,0.0
01_02,2017-06-12,0.0
01_02,2017-06-19,0.0
01_02,2017-06-26,0.15
01_02,2017-07-03,0.0
01_02,2017-07-10,0.0
01_02,2017-07-17,0.0
01_02,2017-07-24,0.0
01_02,2017-07-31,0.0
01_02,2017-08-07,0.0
01_02,2017-08-14,0.0
01_02,2017-08-21,0.0
01_02,2017-08-28,0.0
01_02,2017-09-04,0.0
01_02,2017-09-11,0.0
01_02,2017-09-18,0.0
01_02,2017-09-25,0.0
01_02,2017-10-02,0.613
01_02,2017-10-09,0.0
01_02,2017-10-16,0.4
01_02,2017-10-23,0.0
01_02,2017-10-30,0.0
01_02,2017-11-06,0.0
01_02,2017-11-13,0.0
01_02,2017-11-20,0.0
01_02,2017-11-27,0.05
01_02,2017-12-04,2.35
01_02,2017-12-11,0.0
01_02,2017-12-18,0.175
01_02,2017-12-25,1.6
01_02,2018-01-01,0.45
01_02,2018-01-08,0.0
01_02,2018-01-15,0.625
01_02,2018-01-22,0.25
01_02,2018-01-29,0.4
01_02,2018-02-05,2.45
01_02,2018-02-12,0.575
01_02,2018-02-19,13.0
01_02,2018-02-26,0.15
01_02,2018-03-05,0.2
01_02,2018-03-12,0.0
01_02,2018-03-19,0.15
01_02,2018-03-26,0.0
01_02,2018-04-02,5.25
01_02,2018-04-09,0.0
01_02,2018-04-16,0.15
01_02,2018-04-23,0.175
01_02,2018-04-30,0.0
01_02,2018-05-07,0.0
01_02,2018-05-14,0.0
01_02,2018-05-21,0.0
01_02,2018-05-28,0.0
01_02,2018-06-04,0.6499999999999999
01_02,2018-06-11,0.75
01_02,2018-06-18,0.0
01_02,2018-06-25,0.0
01_02,2018-07-02,0.0
01_03,2016-08-29,0.0
01_03,2016-09-05,0.0
01_03,2016-09-12,0.0
01_03,2016-09-19,0.0
01_03,2016-09-26,0.0
01_03,2016-10-03,0.0
01_03,2016-10-10,0.0
01_03,2016-10-17,0.0
01_03,2016-10-24,0.0
01_03,2016-10-31,0.0
01_03,2016-11-07,0.0
01_03,2016-11-14,0.0
01_03,2016-11-21,0.0
01_03,2016-11-28,0.0
01_03,2016-12-05,0.0
01_03,2016-12-12,0.0
01_03,2016-12-19,0.0
01_03,2016-12-26,0.0
01_03,2017-01-02,0.0
01_03,2017-01-09,0.0
01_03,2017-01-16,0.225
01_03,2017-01-23,0.225
01_03,2017-01-30,0.0
01_03,2017-02-06,0.0
01_03,2017-02-13,0.0
01_03,2017-02-20,1.8
01_03,2017-02-27,0.0
01_03,2017-03-06,0.0
01_03,2017-03-13,0.9
01_03,2017-03-20,0.0
01_03,2017-03-27,0.0
01_03,2017-04-03,0.0
01_03,2017-04-10,0.0
01_03,2017-04-17,0.0
01_03,2017-04-24,0.0
01_03,2017-05-01,0.7
01_03,2017-05-08,0.0
01_03,2017-05-15,0.0
01_03,2017-05-22,6.2
01_03,2017-05-29,5.6
01_03,2017-06-05,0.0
01_03,2017-06-12,0.0
01_03,2017-06-19,0.0
01_03,2017-06-26,1.3
01_03,2017-07-03,0.0
01_03,2017-07-10,0.0
01_03,2017-07-17,0.0
01_03,2017-07-24,0.15
01_03,2017-07-31,0.0
01_03,2017-08-07,0.0
01_03,2017-08-14,0.2
01_03,2017-08-21,0.0
01_03,2017-08-28,0.0
01_03,2017-09-04,0.0
01_03,2017-09-11,0.0
01_03,2017-09-18,0.6
01_03,2017-09-25,0.0
01_03,2017-10-02,0.1
01_03,2017-10-09,0.4499999999999999
01_03,2017-10-16,0.0
01_03,2017-10-23,0.6
01_03,2017-10-30,0.0
01_03,2017-11-06,1.5499999999999998
01_03,2017-11-13,0.4
01_03,2017-11-20,0.45
01_03,2017-11-27,0.0
01_03,2017-12-04,4.05
01_03,2017-12-11,2.2
01_03,2017-12-18,4.7
01_03,2017-12-25,0.0
01_03,2018-01-01,0.2
01_03,2018-01-08,0.5
01_03,2018-01-15,0.9
