unique_id,ds,y
01_01,2017-01-23,11.73
01_01,2017-02-06,18.33
01_01,2017-05-29,7.78
01_01,2017-06-12,7.88
01_01,2017-07-17,36.26
01_01,2017-08-14,7.78
01_01,2017-08-28,11.73
01_01,2017-09-25,7.78
01_01,2017-10-30,7.78
01_01,2017-11-06,7.78
01_01,2017-12-18,19.51
01_01,2018-01-15,15.56
01_01,2018-01-22,23.34
01_01,2018-01-29,7.78
01_01,2018-02-26,15.56
01_01,2018-03-05,15.53
01_01,2018-03-12,23.759999999999998
01_01,2018-03-26,8.98
01_01,2018-04-09,8.29
01_01,2018-04-23,21.2
01_01,2018-05-07,7.39
01_01,2018-05-14,7.39
01_01,2018-06-04,7.39
01_01,2018-06-11,7.41
01_01,2018-06-18,23.200000000000003
01_01,2018-06-25,22.169999999999998
01_01,2018-07-02,15.46
01_01,2018-07-09,21.14
01_01,2018-07-23,8.41
01_01,2018-07-30,8.32
01_01,2018-08-13,44.91
01_01,2018-08-20,29.64
01_02,2017-01-16,15.39
01_02,2017-02-06,8.72
01_02,2017-05-08,90.54
01_02,2017-06-26,7.78
01_02,2017-10-02,8.72
01_02,2017-10-16,15.56
01_02,2017-11-27,7.78
01_02,2017-12-04,42.86
01_02,2017-12-18,7.78
01_02,2017-12-25,23.560000000000002
01_02,2018-01-01,17.44
01_02,2018-01-15,24.28
01_02,2018-01-22,7.78
01_02,2018-01-29,15.56
01_02,2018-02-05,28.67
01_02,2018-02-12,23.34
01_02,2018-02-19,34.01
01_02,2018-02-26,8.72
01_02,2018-03-05,8.29
01_02,2018-03-19,8.29
01_02,2018-04-02,40.32
01_02,2018-04-16,7.39
01_02,2018-04-23,8.29
01_02,2018-06-04,17.29
01_02,2018-06-11,9.51
01_02,2018-07-09,16.37
01_02,2018-07-16,17.950000000000003
01_02,2018-07-23,73.30999999999999
01_02,2018-08-06,7.89
01_02,2018-08-20,15.75
01_02,2018-08-27,9.1
01_03,2017-01-16,8.72
01_03,2017-01-23,8.72
01_03,2017-02-20,18.82
01_03,2017-03-13,9.41
01_03,2017-05-01,9.61
01_03,2017-05-22,17.1
01_03,2017-05-29,23.8
01_03,2017-06-26,11.8
01_03,2017-07-24,7.78
01_03,2017-08-14,15.56
01_03,2017-09-18,9.34
01_03,2017-10-02,15.56
01_03,2017-10-09,17.12
01_03,2017-10-23,8.72
01_03,2017-11-06,15.56
01_03,2017-11-13,7.78
01_03,2017-11-20,15.56
01_03,2017-12-04,22.09
01_03,2017-12-11,9.37
01_03,2017-12-18,16.33
01_03,2018-01-01,7.78
01_03,2018-01-08,9.34
01_03,2018-01-15,17.22
01_03,2018-01-22,8.72
01_03,2018-01-29,15.57
01_03,2018-02-19,7.78
01_03,2018-03-05,16.81
01_03,2018-03-12,8.29
01_03,2018-04-02,8.29
01_03,2018-04-09,17.799999999999997
01_03,2018-04-30,37.85
01_03,2018-05-14,34.22
01_03,2018-05-21,7.39
01_03,2018-05-28,29.19
01_03,2018-06-11,8.99
01_03,2018-06-25,15.940000000000001
01_03,2018-07-02,7.39
01_03,2018-07-09,8.95
01_03,2018-07-16,33.62
01_03,2018-07-23,9.17
01_03,2018-07-30,22.39
01_03,2018-08-06,38.11
01_03,2018-08-13,12.14
01_03,2018-08-20,20.52
01_04,2017-01-23,8.72
01_04,2017-01-30,6.56
01_04,2017-02-06,17.44
01_04,2017-02-20,8.72
01_04,2017-02-27,21.34
01_04,2017-03-13,11.73
01_04,2017-04-24,10.61
01_04,2017-05-01,9.61
01_04,2017-05-08,9.34
01_04,2017-05-29,7.78
01_04,2017-06-05,8.72
01_04,2017-06-26,7.78
01_04,2017-07-03,33.620000000000005
01_04,2017-07-17,7.78
01_04,2017-08-21,9.03
01_04,2017-09-11,11.73
