unique_id,ds,y
01_01,2017-01-23,1
01_01,2017-02-06,2
01_01,2017-05-29,1
01_01,2017-06-12,1
01_01,2017-07-17,2
01_01,2017-08-14,1
01_01,2017-08-28,1
01_01,2017-09-25,1
01_01,2017-10-30,1
01_01,2017-11-06,1
01_01,2017-12-18,2
01_01,2018-01-15,2
01_01,2018-01-22,3
01_01,2018-01-29,1
01_01,2018-02-26,2
01_01,2018-03-05,1
01_01,2018-03-12,3
01_01,2018-03-26,1
01_01,2018-04-09,1
01_01,2018-04-23,1
01_01,2018-05-07,1
01_01,2018-05-14,1
01_01,2018-06-04,1
01_01,2018-06-11,1
01_01,2018-06-18,2
01_01,2018-06-25,3
01_01,2018-07-02,1
01_01,2018-07-09,1
01_01,2018-07-23,1
01_01,2018-07-30,1
01_01,2018-08-13,3
01_01,2018-08-20,4
01_02,2017-01-16,1
01_02,2017-02-06,1
01_02,2017-05-08,4
01_02,2017-06-26,1
01_02,2017-10-02,1
01_02,2017-10-16,2
01_02,2017-11-27,1
01_02,2017-12-04,5
01_02,2017-12-18,1
01_02,2017-12-25,2
01_02,2018-01-01,2
01_02,2018-01-15,3
01_02,2018-01-22,1
01_02,2018-01-29,2
01_02,2018-02-05,3
01_02,2018-02-12,3
01_02,2018-02-19,2
01_02,2018-02-26,1
01_02,2018-03-05,1
01_02,2018-03-19,1
01_02,2018-04-02,2
01_02,2018-04-16,1
01_02,2018-04-23,1
01_02,2018-06-04,2
01_02,2018-06-11,1
01_02,2018-07-09,2
01_02,2018-07-16,2
01_02,2018-07-23,9
01_02,2018-08-06,1
01_02,2018-08-20,2
01_02,2018-08-27,1
01_03,2017-01-16,1
01_03,2017-01-23,1
01_03,2017-02-20,2
01_03,2017-03-13,1
01_03,2017-05-01,1
01_03,2017-05-22,1
01_03,2017-05-29,2
01_03,2017-06-26,1
01_03,2017-07-24,1
01_03,2017-08-14,2
01_03,2017-09-18,1
01_03,2017-10-02,2
01_03,2017-10-09,2
01_03,2017-10-23,1
01_03,2017-11-06,2
01_03,2017-11-13,1
01_03,2017-11-20,2
01_03,2017-12-04,2
01_03,2017-12-11,1
01_03,2017-12-18,1
01_03,2018-01-01,1
01_03,2018-01-08,1
01_03,2018-01-15,2
01_03,2018-01-22,1
01_03,2018-01-29,2
01_03,2018-02-19,1
01_03,2018-03-05,2
01_03,2018-03-12,1
01_03,2018-04-02,1
01_03,2018-04-09,2
01_03,2018-04-30,5
01_03,2018-05-14,4
01_03,2018-05-21,1
01_03,2018-05-28,1
01_03,2018-06-11,1
01_03,2018-06-25,2
01_03,2018-07-02,1
01_03,2018-07-09,1
01_03,2018-07-16,4
01_03,2018-07-23,1
01_03,2018-07-30,2
01_03,2018-08-06,3
01_03,2018-08-13,1
01_03,2018-08-20,2
01_04,2017-01-23,1
01_04,2017-01-30,1
01_04,2017-02-06,2
01_04,2017-02-20,1
01_04,2017-02-27,2
01_04,2017-03-13,1
01_04,2017-04-24,1
01_04,2017-05-01,1
01_04,2017-05-08,1
01_04,2017-05-29,1
01_04,2017-06-05,1
01_04,2017-06-26,1
01_04,2017-07-03,4
01_04,2017-07-17,1
01_04,2017-08-21,1
01_04,2017-09-11,1
01_04,2017-10-02,2
01_04,2017-10-16,3
01_04,2017-11-06,2
01_04,2017-11-13,1
01_04,2017-11-20,7
01_04,2017-11-27,3
01_04,2017-12-04,3
01_04,2017-12-11,2
01_04,2017-12-18,1
01_04,2017-12-25,1
01_04,2018-01-01,2
01_04,2018-01-08,5
01_04,2018-01-15,5
01_04,2018-01-22,3
01_04,2018-01-29,4
01_04,2018-02-05,1
01_04,2018-02-12,1
01_04,2018-02-19,2
01_04,2018-02-26,3
01_04,2018-03-05,1
01_04,2018-03-12,5
01_04,2018-03-19,5
01_04,2018-03-26,1
01_04,2018-04-02,4
01_04,2018-04-09,6
01_04,2018-04-16,6
01_04,2018-04-23,3
01_04,2018-04-30,5
01_04,2018-05-07,2
01_04,2018-05-14,6
01_04,2018-05-21,1
01_04,2018-05-28,1
01_04,2018-06-11,1
01_04,2018-06-18,1
01_04,2018-06-25,2
01_04,2018-07-16,2
01_04,2018-07-23,1
01_04,2018-07-30,6
01_04,2018-08-06,5
01_04,2018-08-13,4
01_04,2018-08-20,4
01_05,2016-10-03,1
01_05,2017-02-13,1
01_05,2017-02-20,1
01_05,2017-03-06,1
01_05,2017-04-17,1
01_05,2017-05-22,4
01_05,2017-05-29,1
01_05,2017-06-26,1
01_05,2017-07-03,1
01_05,2017-07-17,1
01_05,2017-10-02,1
01_05,2017-10-16,1
01_05,2017-10-30,1
01_05,2017-11-13,1
01_05,2017-11-20,2
01_05,2017-11-27,4
01_05,2017-12-04,1
01_05,2017-12-11,1
01_05,2017-12-18,2
01_05,2017-12-25,3
01_05,2018-01-15,2
01_05,2018-01-22,2
01_05,2018-01-29,3
01_05,2018-02-05,3
01_05,2018-02-12,1
01_05,2018-02-19,4
01_05,2018-02-26,1
01_05,2018-03-05,2
01_05,2018-03-12,1
01_05,2018-03-19,3
01_05,2018-03-26,2
01_05,2018-04-02,1
01_05,2018-04-16,1
01_05,2018-04-30,2
01_05,2018-05-07,4
01_05,2018-05-14,2
01_05,2018-05-21,1
01_05,2018-05-28,3
01_05,2018-06-04,3
01_05,2018-06-11,2
01_05,2018-06-18,1
01_05,2018-06-25,3
01_05,2018-07-02,1
01_05,2018-07-16,1
01_05,2018-07-23,1
01_05,2018-07-30,2
01_05,2018-08-06,5
01_05,2018-08-13,1
01_05,2018-08-20,8
01_05,2018-08-27,1
01_06,2017-01-23,1
01_06,2017-01-30,1
01_06,2017-03-06,1
01_06,2017-03-20,1
01_06,2017-05-01,1
01_06,2017-06-05,1
01_06,2017-06-19,1
01_06,2017-07-10,1
01_06,2017-08-21,2
01_06,2017-09-25,4
01_06,2017-10-16,1
01_06,2017-10-23,1
01_06,2017-10-30,1
01_06,2017-11-13,2
01_06,2017-11-20,1
01_06,2017-11-27,3
01_06,2017-12-04,1
01_06,2017-12-25,1
01_06,2018-01-01,2
01_06,2018-01-08,1
01_06,2018-01-22,2
01_06,2018-01-29,1
01_06,2018-02-05,2
01_06,2018-02-12,4
01_06,2018-02-19,2
01_06,2018-02-26,2
