unique_id,ds,y_freight,y_items,y_weight_kg,items_missing_weight
01_01,2017-01-23,11.73,1,1.25,0
01_01,2017-02-06,18.33,2,0.9,0
01_01,2017-05-29,7.78,1,0.4,0
01_01,2017-06-12,7.88,1,0.2,0
01_01,2017-07-17,36.26,2,12.4,0
01_01,2017-08-14,7.78,1,0.1,0
01_01,2017-08-28,11.73,1,1.25,0
01_01,2017-09-25,7.78,1,0.167,0
01_01,2017-10-30,7.78,1,0.215,0
01_01,2017-11-06,7.78,1,0.15,0
01_01,2017-12-18,19.51,2,1.55,0
01_01,2018-01-15,15.56,2,0.3,0
01_01,2018-01-22,23.34,3,0.65,0
01_01,2018-01-29,7.78,1,0.2,0
01_01,2018-02-26,15.56,2,0.2,0
01_01,2018-03-05,15.53,1,2.45,0
01_01,2018-03-12,23.759999999999998,3,1.125,0
01_01,2018-03-26,8.98,1,0.75,0
01_01,2018-04-09,8.29,1,0.5,0
01_01,2018-04-23,21.2,1,19.5,0
01_01,2018-05-07,7.39,1,0.175,0
01_01,2018-05-14,7.39,1,0.15,0
01_01,2018-06-04,7.39,1,0.25,0
01_01,2018-06-11,7.41,1,0.15,0
01_01,2018-06-18,23.200000000000003,2,2.8000000000000003,0
01_01,2018-06-25,22.169999999999998,3,0.6900000000000001,0
01_01,2018-07-02,15.46,1,1.775,0
01_01,2018-07-09,21.14,1,1.5,0
01_01,2018-07-23,8.41,1,0.3,0
01_01,2018-07-30,8.32,1,0.325,0
01_01,2018-08-13,44.91,3,22.05,0
01_01,2018-08-20,29.64,4,0.7130000000000001,0
01_02,2017-01-16,15.39,1,3.1,0
01_02,2017-02-06,8.72,1,0.225,0
01_02,2017-05-08,90.54,4,26.0,0
01_02,2017-06-26,7.78,1,0.15,0
01_02,2017-10-02,8.72,1,0.613,0
01_02,2017-10-16,15.56,2,0.4,0
01_02,2017-11-27,7.78,1,0.05,0
01_02,2017-12-04,42.86,5,2.35,0
01_02,2017-12-18,7.78,1,0.175,0
01_02,2017-12-25,23.560000000000002,2,1.6,0
01_02,2018-01-01,17.44,2,0.45,0
01_02,2018-01-15,24.28,3,0.625,0
01_02,2018-01-22,7.78,1,0.25,0
01_02,2018-01-29,15.56,2,0.4,0
01_02,2018-02-05,28.67,3,2.45,0
01_02,2018-02-12,23.34,3,0.575,0
01_02,2018-02-19,34.01,2,13.0,0
01_02,2018-02-26,8.72,1,0.15,0
01_02,2018-03-05,8.29,1,0.2,0
01_02,2018-03-19,8.29,1,0.15,0
01_02,2018-04-02,40.32,2,5.25,0
01_02,2018-04-16,7.39,1,0.15,0
01_02,2018-04-23,8.29,1,0.175,0
01_02,2018-06-04,17.29,2,0.6499999999999999,0
01_02,2018-06-11,9.51,1,0.75,0
01_02,2018-07-09,16.37,2,0.65,0
01_02,2018-07-16,17.950000000000003,2,1.35,0
01_02,2018-07-23,73.30999999999999,9,3.303,0
01_02,2018-08-06,7.89,1,0.2,0
01_02,2018-08-20,15.75,2,0.65,0
01_02,2018-08-27,9.1,1,0.8,0
01_03,2017-01-16,8.72,1,0.225,0
01_03,2017-01-23,8.72,1,0.225,0
01_03,2017-02-20,18.82,2,1.8,0
01_03,2017-03-13,9.41,1,0.9,0
01_03,2017-05-01,9.61,1,0.7,0
01_03,2017-05-22,17.1,1,6.2,0
01_03,2017-05-29,23.8,2,5.6,0
01_03,2017-06-26,11.8,1,1.3,0
01_03,2017-07-24,7.78,1,0.15,0
01_03,2017-08-14,15.56,2,0.2,0
01_03,2017-09-18,9.34,1,0.6,0
01_03,2017-10-02,15.56,2,0.1,0
01_03,2017-10-09,17.12,2,0.44999999999999996,0
01_03,2017-10-23,8.72,1,0.6,0
01_03,2017-11-06,15.56,2,1.5499999999999998,0
01_03,2017-11-13,7.78,1,0.4,0
01_03,2017-11-20,15.56,2,0.45,0
01_03,2017-12-04,22.09,2,4.05,0
01_03,2017-12-11,9.37,1,2.2,0
01_03,2017-12-18,16.33,1,4.7,0
01_03,2018-01-01,7.78,1,0.2,0
01_03,2018-01-08,9.34,1,0.5,0
01_03,2018-01-15,17.22,2,0.9,0
01_03,2018-01-22,8.72,1,1.3,0
01_03,2018-01-29,15.57,2,1.2,0
01_03,2018-02-19,7.78,1,0.15,0
01_03,2018-03-05,16.81,2,0.675,0
01_03,2018-03-12,8.29,1,0.2,0
01_03,2018-04-02,8.29,1,0.25,0
